CODE;price;old price;ostatok
50078;16160;;0
50079;38850;;0
50081;16360;;0
50085;22750;;0
50086;12080;;0
50087;14560;;0
50090;166850;;0
50092;13800;;0
51674;36530;;0
54658;20190;;40
54720;29265;;0
55004;6600;13203.00;16
55088;6900;;0
55927;12310;;0
58165;37986;;0
58370;119123;;0
58495;20800;;26
58496;12800;;0
58659;59281;;1
58762;12599;;21
58921;135760;;0
59060;21591;23990.00;50
59061;31990;;0
59062;37990;;35
59063;51990;;20
59064;24990;;9
59713;118249;;4
59716;72026;;10
59728;23344;;10
59729;23831;;10
59730;24308;;7
59731;74509;;7
59734;48000;;6
59735;36309;;10
60087;69159;;0
60097;52863;;0
60100;98553;;7
60101;50745;;0
60102;50745;;0
60526;25380;;20
60533;4869;;0
60534;13580;;12
60559;20480;;20
60560;24300;;5
61752;72860;;20
64317;53359;;0
64603;17400;;10
64884;29000;;0
64886;33523;;4
64898;25389;;10
65806;58550;68310.00;0
65811;19990;;0
65812;46790;;0
65813;24810;28950.00;0
65816;48090;;0
65819;25720;30010.00;0
65820;71890;;0
65821;106790;;0
65822;13910;16230.00;0
65824;40910;47730.00;0
65828;30770;35900.00;0
65829;29500;34420.00;0
65834;11130;12980.00;0
65835;78990;;0
65839;12850;14990.00;0
65842;87390;;8
65846;35960;41950.00;0
65852;29980;34980.00;0
65853;49630;57900.00;0
65854;27800;32430.00;0
65856;29980;34980.00;0
65857;39980;46640.00;0
65876;12900;15050.00;0
67153;19990;;8
67154;18990;;16
67174;18590;;4
68673;18690;;0
68674;19020;;0
68676;79848;;0
68678;79848;;0
68679;65394;;0
68680;65394;;0
68682;8964;;0
68705;7938;;0
68707;32076;;0
69230;12000;18750.00;6
69231;17760;27750.00;4
69241;87140;136150.00;0
69242;105850;165390.00;1
69243;90080;140750.00;7
69250;9380;14650.00;0
69251;17555;27425.00;10
69252;52140;81465.00;18
69253;22180;34650.00;5
69254;33880;52940.00;0
69255;47585;74350.00;0
69256;27395;42800.00;3
69257;41145;64290.00;0
69258;27380;42775.00;19
69259;41700;65150.00;4
69260;36500;57025.00;1
69261;65795;102800.00;0
69262;57065;89165.00;21
69263;120035;187550.00;9
69264;58025;90665.00;6
69265;70140;109590.00;24
69266;62305;97350.00;6
69267;79585;124350.00;13
69268;65370;102140.00;0
69272;10960;17125.00;2
69273;59345;92725.00;1
69274;10890;17015.00;0
69275;29730;46450.00;0
69276;45400;70940.00;0
69277;11170;17450.00;1
69279;21660;33840.00;0
69280;18690;29200.00;0
69281;51320;80190.00;0
69282;30955;48365.00;0
69284;5745;8975.00;10
69286;24780;38715.00;0
69287;6240;9750.00;0
69288;7770;12140.00;1
69289;10100;15775.00;0
69290;8480;13250.00;0
69291;10720;16750.00;0
69292;9660;15090.00;1
69293;9060;14150.00;1
69294;5490;8575.00;0
69296;25185;39350.00;0
69297;2400;3750.00;24
69298;3360;5250.00;29
69299;2400;3750.00;15
69300;3360;5250.00;14
69301;2400;3750.00;25
69302;3360;5250.00;27
69303;2400;3750.00;1
69304;3360;5250.00;16
69305;2400;3750.00;0
69306;3360;5250.00;9
69307;3360;5250.00;0
69308;3360;5250.00;0
69309;2400;3750.00;0
69310;3360;5250.00;0
69311;6115;9550.00;0
69312;3360;5250.00;10
69313;2400;3750.00;16
69314;3360;5250.00;10
69315;1865;2915.00;0
69317;4355;6800.00;0
69318;3680;5750.00;0
69319;5370;8390.00;0
69320;3360;5250.00;0
69321;2400;3750.00;0
69322;5700;8900.00;0
69323;2560;4000.00;0
69324;3680;5750.00;0
69325;2435;3800.00;0
69326;3680;5750.00;0
69327;2400;3750.00;0
69328;2080;3250.00;0
69332;32760;;0
69334;2400;3750.00;9
69336;2400;3750.00;7
69337;3360;5250.00;0
69338;2400;3750.00;19
69339;3360;5250.00;12
69340;2400;3750.00;5
69341;3360;5250.00;9
69342;2400;3750.00;0
69343;3360;5250.00;9
69344;3360;5250.00;11
69345;9905;15475.00;7
69347;66920;104565.00;0
69349;5170;8075.00;0
69350;20985;32790.00;0
69351;50340;78650.00;0
69352;20985;32790.00;0
69353;25170;39325.00;6
69354;27330;42700.00;0
69355;43220;67525.00;1
69356;37355;58365.00;0
69357;31720;49565.00;2
69358;54960;85875.00;0
69359;43395;67800.00;0
69360;11820;18465.00;0
69361;14505;22665.00;0
69362;41755;65240.00;0
69363;52995;82800.00;2
69364;11820;18465.00;6
69365;15520;24250.00;3
69366;5875;9175.00;0
69367;39140;61150.00;2
69369;39540;61775.00;0
69373;43690;68265.00;2
69374;53410;83450.00;2
69375;17220;26900.00;0
69376;27665;43225.00;0
70941;11840;;0
74448;33990;;0
78631;21990;;0
78990;33990;;3
79005;15110;;0
79018;18650;;0
80513;16990;;10
80514;26390;;16
80521;37890;;0
81093;39195;;0
81098;43619;;0
81550;20800;;0
81625;18213;;16
82756;35820;;0
82759;21480;;0
82769;19580;;0
82770;26090;;0
82771;34263;;0
82772;52760;;0
82777;19360;;0
83486;23076;;0
83491;29440;;0
83660;46900;89200.00;0
83800;20800;;0
83801;14010;;0
84487;11300;19170.00;23
85107;82583;;0
85108;48000;;0
85109;42900;;0
85114;29640;;0
85213;28990;;0
85216;21750;;0
85398;49999;;1
85399;59990;;0
85400;15599;;24
85955;11390;;14
85961;65461;;0
85963;19818;;0
86934;104274;;1
86935;104274;;1
86936;144512;;1
86937;144512;;1
86938;164633;;1
86939;164633;;1
86946;126955;;1
86947;145985;;1
86949;56265;;1
86950;70135;;1
86951;76740;;1
86952;76740;;1
86953;76740;;1
86954;86991;;1
86955;86991;;1
86956;86991;;1
86960;158760;;1
86961;201340;;1
86964;122554;;1
86965;122554;;1
86966;141065;;1
86967;141065;;1
86973;77486;;1
86974;77486;;1
86975;115104;;1
86976;121998;;1
86979;80765;;1
86980;87783;;1
86985;97939;;1
86986;106455;;1
86993;103275;;1
86994;103176;;1
86995;112183;;1
87002;89225;;1
87003;86549;;1
87006;99979;;1
87097;56182;;1
87216;75480;;777777
87217;99456;;777777
87227;81351;;777777
87234;81696;;777777
88198;11860;;0
88199;20200;;0
88201;11350;;0
88202;15250;;0
88373;20500;;0
88381;34200;;0
88382;42300;;0
88417;31400;;0
88418;44600;;1
88425;33800;50200.00;1
88426;40400;;11
88893;11000;;0
88894;24200;;0
88896;14690;;0
88897;24900;;0
88898;11840;;1
88899;23870;;0
89240;24870;;0
89242;36360;;37
89243;31540;;11
89273;20400;;0
89274;18360;;0
89348;17136;;0
89352;10818;;0
89353;18760;;0
89596;11490;;3
89605;8790;;0
89609;7490;;69
89610;7990;;26
90523;29990;;8
90525;49900;;0
90526;8990;;12
90527;9999;;49
90528;30999;;38
90529;32999;;0
90530;43599;;1
90531;28999;;27
90532;29599;;31
90537;18999;;14
90538;25490;;17
90539;24999;;32
90543;47999;;24
90544;29999;;38
90545;29999;;33
90547;30999;;42
91308;18999;;25
91386;48025;;0
91387;75270;;0
91794;36954;;1
93577;103081;;2
93578;89321;;3
93589;16852;53941.00;2
93761;38440;54910.00;16
94346;67790;;0
94654;29980;34980.00;0
94655;33340;38900.00;0
94657;49630;57900.00;0
94664;59800;69770.00;0
94665;85710;99990.00;0
94666;45880;53530.00;0
94667;59480;69390.00;0
94669;29130;33990.00;0
94672;26490;30900.00;0
94674;19670;22950.00;0
94676;35130;40990.00;0
94680;59990;69990.00;0
94681;36690;;4
94688;32530;37950.00;0
94697;59980;69980.00;0
94698;109890;;0
94700;59980;69980.00;0
94701;79980;93310.00;0
94704;79980;93310.00;0
94706;77100;89950.00;0
94707;94240;109950.00;0
